Date,Day of Week,Description,Credit,Debit,Balance
1/1/2024,Monday,Opening,0,0,10000
1/1/2024,Monday,Salary,75000,0,85000
2/1/2024,Tuesday,Groceries,0,1200,83800
3/1/2024,Wednesday,Rent,0,20000,63800
4/1/2024,Thursday,Electricity,0,2200,61600
4/1/2024,Thursday,Swiggy,0,420,61180
5/1/2024,Friday,Groceries,0,1100,60080
6/1/2024,Saturday,Water,0,700,59380
7/1/2024,Sunday,Zomato,0,580,58800
8/1/2024,Monday,Internet,0,1100,57700
9/1/2024,Tuesday,Groceries,0,1300,56400
10/1/2024,Wednesday,Fuel,0,1800,54600
10/1/2024,Wednesday,Swiggy,0,450,54150
11/1/2024,Thursday,Hospital,0,2800,51350
12/1/2024,Friday,Groceries,0,1500,49850
13-01-2024,Saturday,Gas,0,1300,48550
14-01-2024,Sunday,Zomato,0,620,47930
15-01-2024,Monday,Shopping,0,2200,45730
15-01-2024,Monday,Swiggy,0,380,45350
16-01-2024,Tuesday,Groceries,0,1400,43950
17-01-2024,Wednesday,Medical,0,1200,42750
18-01-2024,Thursday,Zomato,0,720,42030
19-01-2024,Friday,Groceries,0,1200,40830
20-01-2024,Saturday,Swiggy,0,490,40340
21-01-2024,Sunday,Travel,0,1500,38840
22-01-2024,Monday,Groceries,0,1100,37740
22-01-2024,Monday,Fuel,0,1700,36040
23-01-2024,Tuesday,Zomato,0,650,35390
24-01-2024,Wednesday,Swiggy,0,420,34970
25-01-2024,Thursday,Shopping,0,1800,33170
26-01-2024,Friday,Groceries,0,900,32270
27-01-2024,Saturday,Zomato,0,580,31690
27-01-2024,Saturday,Shopping,0,300,31390
28-01-2024,Sunday,Swiggy,0,390,31000
29-01-2024,Monday,Groceries,0,800,30200
30-01-2024,Tuesday,Bonus,4800,0,35000
31-01-2024,Wednesday,Closing,0,0,35000
1/2/2024,Thursday,Opening,0,0,35000
1/2/2024,Thursday,Salary,75000,0,110000
2/2/2024,Friday,Groceries,0,1200,108800
2/2/2024,Friday,Swiggy,0,420,108380
3/2/2024,Saturday,Rent,0,20000,88380
4/2/2024,Sunday,Zomato,0,580,87800
5/2/2024,Monday,Electricity,0,2200,85600
6/2/2024,Tuesday,Groceries,0,1100,84500
6/2/2024,Tuesday,Fuel,0,1800,82700
7/2/2024,Wednesday,Water,0,700,82000
8/2/2024,Thursday,Internet,0,1100,80900
9/2/2024,Friday,Groceries,0,1300,79600
10/2/2024,Saturday,Swiggy,0,450,79150
11/2/2024,Sunday,Zomato,0,620,78530
11/2/2024,Sunday,Shopping,0,1800,76730
12/2/2024,Monday,Hospital,0,2800,73930
13-02-2024,Tuesday,Groceries,0,1500,72430
14-02-2024,Wednesday,Gas,0,1300,71130
15-02-2024,Thursday,Zomato,0,720,70410
16-02-2024,Friday,Groceries,0,1400,69010
16-02-2024,Friday,Swiggy,0,380,68630
17-02-2024,Saturday,Medical,0,1200,67430
18-02-2024,Sunday,Shopping,0,2200,65230
19-02-2024,Monday,Groceries,0,1200,64030
20-02-2024,Tuesday,Zomato,0,650,63380
20-02-2024,Tuesday,Fuel,0,1700,61680
21-02-2024,Wednesday,Swiggy,0,490,61190
22-02-2024,Thursday,Travel,0,1500,59690
23-02-2024,Friday,Groceries,0,1100,58590
24-02-2024,Saturday,Zomato,0,580,58010
25-02-2024,Sunday,Swiggy,0,420,57590
25-02-2024,Sunday,Shopping,0,800,56790
26-02-2024,Monday,Groceries,0,900,55890
27-02-2024,Tuesday,Zomato,0,650,55240
28-02-2024,Wednesday,Swiggy,0,390,54850
29-02-2024,Thursday,Groceries,0,750,54100
29-02-2024,Tuesday,Bonus,5900,0,60000
1/3/2024,Friday,Opening,0,0,60000
1/3/2024,Friday,Salary,75000,0,135000
2/3/2024,Saturday,Groceries,0,1250,133750
3/3/2024,Sunday,Swiggy,0,450,133300
4/3/2024,Monday,Rent,0,20000,113300
5/3/2024,Tuesday,Zomato,0,550,112750
6/3/2024,Wednesday,Electricity,0,2500,110250
7/3/2024,Thursday,Groceries,0,1100,109150
8/3/2024,Friday,Water,0,800,108350
9/3/2024,Saturday,Internet,0,1200,107150
10/3/2024,Sunday,Shopping,0,2100,105050
11/3/2024,Monday,Hospital,0,3200,101850
12/3/2024,Tuesday,Groceries,0,1350,100500
13-03-2024,Wednesday,Fuel,0,1900,98600
14-03-2024,Thursday,Zomato,0,700,97900
15-03-2024,Friday,Groceries,0,1400,96500
16-03-2024,Saturday,Swiggy,0,480,96020
17-03-2024,Sunday,Medical,0,1500,94520
18-03-2024,Monday,Shopping,0,2500,92020
19-03-2024,Tuesday,Groceries,0,1200,90820
20-03-2024,Wednesday,Zomato,0,650,90170
21-03-2024,Thursday,Travel,0,1800,88370
22-03-2024,Friday,Swiggy,0,520,87850
23-03-2024,Saturday,Groceries,0,950,86900
24-03-2024,Sunday,Zomato,0,600,86300
25-03-2024,Monday,Swiggy,0,450,85850
26-03-2024,Tuesday,Shopping,0,900,84950
27-03-2024,Wednesday,Groceries,0,800,84150
28-03-2024,Thursday,Zomato,0,550,83600
29-03-2024,Friday,Swiggy,0,400,83200
30-03-2024,Saturday,Groceries,0,700,82500
31-03-2024,Sunday,Shopping,0,0,82500
1/4/2024,Monday,Opening,0,0,82500
1/4/2024,Monday,Salary,75000,0,157500
2/4/2024,Tuesday,Groceries,0,1300,156200
3/4/2024,Wednesday,Swiggy,0,480,155720
4/4/2024,Thursday,Rent,0,20000,135720
5/4/2024,Friday,Zomato,0,520,135200
6/4/2024,Saturday,Electricity,0,2600,132600
7/4/2024,Sunday,Groceries,0,1150,131450
8/4/2024,Monday,Water,0,750,130700
9/4/2024,Tuesday,Internet,0,1100,129600
10/4/2024,Wednesday,Shopping,0,2200,127400
11/4/2024,Thursday,Hospital,0,3500,123900
12/4/2024,Friday,Groceries,0,1400,122500
13-04-2024,Saturday,Fuel,0,1800,120700
14-04-2024,Sunday,Zomato,0,680,120020
15-04-2024,Monday,Groceries,0,1500,118520
16-04-2024,Tuesday,Swiggy,0,420,118100
17-04-2024,Wednesday,Medical,0,1300,116800
18-04-2024,Thursday,Shopping,0,2300,114500
19-04-2024,Friday,Groceries,0,1100,113400
20-04-2024,Saturday,Zomato,0,620,112780
21-04-2024,Sunday,Travel,0,1700,111080
22-04-2024,Monday,Swiggy,0,550,110530
23-04-2024,Tuesday,Groceries,0,1000,109530
24-04-2024,Wednesday,Zomato,0,580,108950
25-04-2024,Thursday,Swiggy,0,430,108520
26-04-2024,Friday,Shopping,0,850,107670
27-04-2024,Saturday,Groceries,0,750,106920
28-04-2024,Sunday,Zomato,0,520,106400
29-04-2024,Monday,Swiggy,0,380,106020
30-04-2024,Tuesday,Groceries,0,650,105370
1/5/2024,Wednesday,Opening,0,0,105370
1/5/2024,Wednesday,Salary,75000,0,180370
2/5/2024,Thursday,Groceries,0,1350,179020
3/5/2024,Friday,Rent,0,20000,159020
4/5/2024,Saturday,Zomato,0,600,158420
5/5/2024,Sunday,Swiggy,0,550,157870
6/5/2024,Monday,Electricity,0,2700,155170
7/5/2024,Tuesday,Groceries,0,1200,153970
8/5/2024,Wednesday,Water,0,850,153120
9/5/2024,Thursday,Internet,0,1200,151920
10/5/2024,Friday,Shopping,0,2300,149620
11/5/2024,Saturday,Hospital,0,3800,145820
12/5/2024,Sunday,Groceries,0,1450,144370
13-05-2024,Monday,Fuel,0,1900,142470
14-05-2024,Tuesday,Zomato,0,720,141750
15-05-2024,Wednesday,Groceries,0,1600,140150
16-05-2024,Thursday,Swiggy,0,450,139700
17-05-2024,Friday,Medical,0,1400,138300
18-05-2024,Saturday,Shopping,0,2400,135900
19-05-2024,Sunday,Groceries,0,1150,134750
20-05-2024,Monday,Zomato,0,650,134100
21-05-2024,Tuesday,Travel,0,1800,132300
22-05-2024,Wednesday,Swiggy,0,580,131720
23-05-2024,Thursday,Groceries,0,1050,130670
24-05-2024,Friday,Zomato,0,620,130050
25-05-2024,Saturday,Swiggy,0,480,129570
26-05-2024,Sunday,Shopping,0,950,128620
27-05-2024,Monday,Groceries,0,850,127770
28-05-2024,Tuesday,Zomato,0,580,127190
29-05-2024,Wednesday,Swiggy,0,420,126770
30-05-2024,Thursday,Groceries,0,700,126070
31-05-2024,Friday,Shopping,0,0,126070
1/6/2024,Saturday,Salary,75000,0,201070
2/6/2024,Sunday,Groceries,0,1200,199870
3/6/2024,Monday,Rent,0,20000,179870
4/6/2024,Tuesday,Swiggy,0,450,179420
5/6/2024,Wednesday,Electricity,0,2200,177220
6/6/2024,Thursday,Zomato,0,580,176640
7/6/2024,Friday,Water,0,700,175940
8/6/2024,Saturday,Internet,0,1100,174840
9/6/2024,Sunday,Shopping,0,2000,172840
10/6/2024,Monday,Hospital,0,3000,169840
11/6/2024,Tuesday,Groceries,0,1500,168340
12/6/2024,Wednesday,Fuel,0,1800,166540
13-06-2024,Thursday,Swiggy,0,620,165920
14-06-2024,Friday,Groceries,0,1400,164520
15-06-2024,Saturday,Medical,0,1200,163320
16-06-2024,Sunday,Shopping,0,2200,161120
17-06-2024,Monday,Groceries,0,1100,160020
18-06-2024,Tuesday,Zomato,0,650,159370
19-06-2024,Wednesday,Travel,0,1500,157870
20-06-2024,Thursday,Swiggy,0,490,157380
21-06-2024,Friday,Groceries,0,1000,156380
22-06-2024,Saturday,Zomato,0,580,155800
23-06-2024,Sunday,Swiggy,0,420,155380
24-06-2024,Monday,Shopping,0,800,154580
25-06-2024,Tuesday,Groceries,0,900,153680
26-06-2024,Wednesday,Zomato,0,650,153030
27-06-2024,Thursday,Swiggy,0,390,152640
28-06-2024,Friday,Groceries,0,750,151890
29-06-2024,Saturday,Fuel,0,1200,150690
30-06-2024,Sunday,Shopping,0,0,150690
1/7/2024,Monday,Opening,0,0,150690
1/7/2024,Monday,Salary,75000,0,225690
2/7/2024,Tuesday,Groceries,0,1400,224290
3/7/2024,Wednesday,Swiggy,0,750,223540
4/7/2024,Thursday,Zomato,0,800,222740
5/7/2024,Friday,Rent,0,20000,202740
6/7/2024,Saturday,Electricity,0,3100,199640
7/7/2024,Sunday,Groceries,0,1500,198140
8/7/2024,Monday,Water,0,850,197290
9/7/2024,Tuesday,Swiggy,0,700,196590
10/7/2024,Wednesday,Shopping,0,1800,194790
11/7/2024,Thursday,Zomato,0,950,193840
12/7/2024,Friday,Internet,0,1300,192540
13-07-2024,Saturday,Groceries,0,1350,191190
14-07-2024,Sunday,Gas,0,1250,189940
15-07-2024,Monday,Swiggy,0,650,189290
16-07-2024,Tuesday,Hospital,0,2500,186790
17-07-2024,Wednesday,Fuel,0,1500,185290
18-07-2024,Thursday,Zomato,0,850,184440
19-07-2024,Friday,Groceries,0,1400,183040
20-07-2024,Saturday,Travel,0,1000,182040
21-07-2024,Sunday,Swiggy,0,720,181320
22-07-2024,Monday,Medical,0,1000,180320
23-07-2024,Tuesday,Zomato,0,810,179510
24-07-2024,Wednesday,Groceries,0,1200,178310
25-07-2024,Thursday,Swiggy,0,680,177630
26-07-2024,Friday,Zomato,0,700,176930
28-07-2024,Sunday,Groceries,0,900,176030
29-07-2024,Monday,Swiggy,0,550,175480
29-07-2025,Tuesday,Netflix ,0,499,174981
29-07-2026,Wednesday,Recharge,0,300,174681
1/8/2024,Thursday,Opening,0,0,174681
1/8/2024,Thursday,Salary,75000,0,249681
5/8/2024,Monday,Groceries,0,1400,248281
5/8/2024,Monday,Rent,0,20000,228281
7/8/2024,Wednesday,Swiggy,0,750,227531
7/8/2024,Wednesday,Electricity,0,3100,224431
9/8/2024,Friday,Zomato,0,800,223631
10/8/2024,Saturday,Water,0,850,222781
11/8/2024,Sunday,Groceries,0,1500,221281
13-08-2024,Tuesday,Swiggy,0,700,220581
14-08-2024,Wednesday,Internet,0,1300,219281
15-08-2024,Thursday,Shopping,0,1800,217481
16-08-2024,Friday,Zomato,0,950,216531
16-08-2024,Friday,Gas,0,1250,215281
17-08-2024,Saturday,Groceries,0,1350,213931
19-08-2024,Monday,Swiggy,0,650,213281
20-08-2024,Tuesday,Hospital,0,2500,210781
21-08-2024,Wednesday,Fuel,0,1500,209281
22-08-2024,Thursday,Zomato,0,850,208431
23-08-2024,Friday,Groceries,0,1400,207031
24-08-2024,Saturday,Travel,0,1000,206031
25-08-2024,Sunday,Swiggy,0,720,205311
25-08-2024,Sunday,Medical,0,1000,204311
26-08-2024,Monday,Zomato,0,810,203501
28-08-2024,Wednesday,Groceries,0,1200,202301
29-08-2024,Thursday,Swiggy,0,680,201621
30-08-2024,Friday,Zomato,0,700,200921
30-08-2024,Friday,Swiggy,0,550,200371
31-08-2024,Saturday,Groceries,0,900,199471
31-08-2024,Saturday,Closing,0,0,199471
1/9/2024,Sunday,Opening,0,0,199471
1/9/2024,Sunday,Salary,75000,0,274471
2/9/2024,Monday,Groceries,0,1400,273071
3/9/2024,Tuesday,Swiggy,0,750,272321
4/9/2024,Wednesday,Zomato,0,800,271521
5/9/2024,Thursday,Rent,0,20000,251521
6/9/2024,Friday,Electricity,0,3100,248421
7/9/2024,Saturday,Groceries,0,1500,246921
8/9/2024,Sunday,Water,0,850,246071
9/9/2024,Monday,Swiggy,0,700,245371
10/9/2024,Tuesday,Shopping,0,1500,243871
11/9/2024,Wednesday,Zomato,0,950,242921
12/9/2024,Thursday,Internet,0,1300,241621
13-09-2024,Friday,Groceries,0,1350,240271
